latitude,longitude,estado,bioma,mes,temperatura_media,umidade_relativa,precipitacao_mm,velocidade_vento,dias_sem_chuva,focos_calor_7d,distancia_foco_km,ndvi,historico_incendios,risco_incendio
-8.366236,-66.276932,GO,Cerrado,3,30.72,71.6,4.28,17.32,7,5,33.75,0.285,0,medio
-29.995111,-55.547387,PR,Pantanal,8,34.45,28.15,18.65,23.86,24,13,10.82,0.388,8,critico
-2.044248,-36.489641,PR,Mata Atlântica,1,29.58,62.31,19.18,23.67,6,0,46.1,0.478,8,medio
-28.961896,-42.641292,RO,Cerrado,5,28.17,31.46,5.91,13.1,13,4,6.46,0.396,5,alto
-11.57799,-65.00581,GO,Cerrado,7,33.04,34.52,16.6,14.77,20,5,57.56,0.1,8,critico
-2.5136,-42.317802,MG,Cerrado,11,21.48,50.92,4.1,10.17,11,3,37.87,0.226,5,medio
-10.968685,-51.931527,MG,Pampa,11,29.44,77.18,3.66,19.39,11,0,89.51,0.568,4,medio
0.651259,-72.609594,PE,Pantanal,2,30.52,70.65,10.07,13.0,20,1,8.93,0.421,5,alto
-8.73044,-67.491496,GO,Caatinga,11,30.05,62.32,0.03,6.9,4,1,2.63,0.125,3,alto
-2.658767,-45.418095,RS,Amazônia,5,25.01,50.31,26.91,13.4,13,2,13.91,0.473,5,medio
-29.395731,-51.779086,TO,Mata Atlântica,7,34.46,49.34,7.47,15.97,20,5,49.92,0.286,5,alto
4.294014,-69.202308,BA,Pantanal,12,33.92,30.07,10.77,28.99,9,6,25.01,0.767,3,alto
-4.705315,-35.387145,RO,Cerrado,8,29.87,44.39,8.92,6.49,20,7,26.07,0.503,7,alto
-19.320288,-70.007787,GO,Mata Atlântica,9,24.62,10.0,8.84,7.98,13,1,25.26,0.05,4,alto
-23.596407,-47.835732,MT,Pantanal,12,34.8,60.66,13.52,27.79,22,1,1.0,0.712,10,alto
-10.878497,-59.085951,PE,Mata Atlântica,2,27.06,41.81,44.33,5.28,11,2,25.32,0.662,2,medio
-31.94204,-63.380399,MS,Amazônia,11,35.74,58.67,42.03,30.08,12,3,16.49,0.413,6,alto
-32.103505,-56.864417,SC,Pantanal,8,38.74,17.24,1.87,20.59,32,13,43.69,0.367,3,critico
-13.422695,-42.788548,BA,Cerrado,9,41.59,54.68,0.98,15.69,36,10,19.11,0.286,7,critico
-23.066902,-36.082656,PI,Mata Atlântica,11,23.44,73.51,14.9,15.26,5,0,98.1,0.725,2,baixo
-22.796813,-53.796331,RS,Amazônia,8,29.74,50.39,15.81,12.4,17,4,12.87,0.36,6,alto
-0.870589,-41.835796,MS,Amazônia,1,20.67,69.9,62.4,20.95,1,6,8.91,0.83,6,medio
-7.566014,-38.357384,TO,Pampa,3,33.43,48.36,5.22,16.95,16,6,13.22,0.203,2,alto
3.296656,-63.634088,PE,Amazônia,4,23.03,60.04,42.88,17.62,4,4,20.26,0.435,6,baixo
-7.839751,-37.408626,PA,Mata Atlântica,9,31.02,53.1,4.6,9.92,21,7,2.5,0.348,6,critico
1.184823,-42.504629,RO,Amazônia,6,24.62,76.55,36.92,15.25,17,6,32.99,0.161,4,medio
-30.366429,-55.199876,PI,Mata Atlântica,10,25.23,47.07,4.18,21.01,6,8,40.05,0.538,3,medio
-11.253215,-55.767705,RO,Caatinga,1,34.01,37.09,55.99,9.63,4,2,35.51,0.659,3,baixo
-4.410863,-72.311839,GO,Mata Atlântica,1,38.36,88.14,12.81,19.88,9,0,126.91,0.206,4,medio
-18.46559,-61.123596,SP,Cerrado,10,32.86,10.0,15.24,9.51,8,4,3.34,0.177,7,critico
-0.404962,-54.510019,PA,Amazônia,1,22.45,72.04,32.38,23.67,12,3,98.76,0.618,6,medio
4.969877,-61.812981,AM,Amazônia,2,23.91,66.96,27.6,12.22,1,3,11.24,0.719,5,baixo
-10.242442,-62.297943,SP,Cerrado,1,36.01,43.66,70.85,8.51,17,3,120.0,0.468,3,medio
-3.040818,-41.093937,RO,Cerrado,11,24.89,53.06,2.63,12.11,17,9,4.8,0.305,3,alto
-19.067767,-48.854265,PR,Cerrado,3,25.24,17.83,22.85,15.82,19,5,1.49,0.495,6,alto
3.403215,-53.380169,RJ,Cerrado,9,33.69,18.09,3.33,19.69,17,8,4.61,0.155,6,critico
-1.273822,-43.520431,AM,Pantanal,2,25.25,54.02,3.07,17.82,19,7,1.2,0.614,8,alto
-0.680557,-38.763955,SC,Amazônia,5,35.06,84.18,29.8,9.97,8,3,7.63,0.53,6,medio
3.98793,-42.167865,PE,Pantanal,11,31.94,47.37,2.44,24.47,13,5,2.7,0.632,3,alto
-19.564145,-67.833711,MA,Cerrado,9,34.92,53.42,10.22,10.95,35,12,9.2,0.587,5,alto
-22.372393,-65.530668,MG,Amazônia,9,35.47,43.92,25.09,21.0,32,7,1.0,0.272,9,critico
-8.450216,-67.126173,MA,Mata Atlântica,11,26.31,72.22,32.69,11.86,16,4,12.46,0.637,4,medio
-16.409895,-48.281918,RS,Mata Atlântica,12,19.05,52.21,12.28,12.25,1,0,87.57,0.513,1,baixo
-11.188943,-48.14122,RO,Caatinga,4,35.95,60.28,10.22,2.84,16,3,2.72,0.689,2,medio
-32.651709,-65.145435,GO,Cerrado,6,28.54,61.9,7.58,13.05,13,3,7.92,0.517,5,medio
-14.809335,-66.278381,SP,Amazônia,1,28.28,77.77,25.29,20.37,6,2,19.56,0.792,6,medio
0.828385,-62.456405,SP,Cerrado,5,30.04,70.8,15.49,14.99,9,3,28.23,0.728,9,medio
-17.884613,-60.336492,PR,Caatinga,12,29.16,21.46,16.25,17.66,2,6,12.53,0.491,3,medio
-23.394897,-57.141175,PE,Pampa,5,30.81,54.04,15.23,18.14,15,0,51.82,0.669,1,medio
-12.451215,-35.249178,RS,Pampa,11,25.64,55.21,19.76,13.7,16,1,15.7,0.575,5,medio
-10.20434,-45.878984,PR,Pantanal,7,43.0,10.0,1.48,16.52,9,11,1.0,0.491,4,critico
-29.406859,-43.422994,CE,Mata Atlântica,5,32.17,93.2,1.38,25.43,0,4,65.33,0.495,1,medio
-8.178887,-59.386955,RO,Pampa,1,20.16,76.41,11.69,22.73,16,0,146.36,0.458,3,baixo
-20.812142,-39.161977,SC,Mata Atlântica,1,29.22,39.97,12.88,20.58,14,0,103.08,0.43,4,medio
-22.796997,-47.484805,RO,Caatinga,4,32.25,55.14,12.62,27.24,16,3,3.54,0.649,2,medio
-0.715193,-54.274737,SP,Mata Atlântica,11,26.5,24.59,21.64,17.34,15,2,2.58,0.701,1,alto
-7.012684,-53.428231,PI,Mata Atlântica,9,33.21,44.31,6.94,9.81,22,4,33.24,0.41,3,alto
-6.793736,-61.24572,PE,Pantanal,6,25.65,57.78,15.83,3.35,6,3,15.68,0.916,3,baixo
-18.165695,-56.784783,PA,Cerrado,4,19.27,39.83,2.65,12.32,8,1,1.0,0.068,3,alto
-8.499244,-59.753236,MT,Cerrado,2,30.3,79.92,7.39,30.67,4,1,6.87,0.379,8,alto
-1.208432,-47.619255,SC,Mata Atlântica,6,20.72,79.3,42.58,28.56,5,1,15.71,0.707,0,baixo
-16.300316,-53.643412,CE,Amazônia,1,33.69,62.16,36.33,7.85,4,2,14.01,0.674,6,medio
0.581869,-51.10236,SP,Cerrado,6,28.23,43.96,17.02,21.39,20,10,9.7,0.601,6,alto
-17.623158,-57.646406,TO,Amazônia,8,31.55,47.95,11.23,16.14,10,6,15.64,0.609,8,alto
-20.003139,-40.542675,SP,Cerrado,12,33.91,39.38,2.47,17.34,20,5,2.56,0.169,3,critico
4.908139,-38.409258,MS,Caatinga,2,27.01,74.02,6.58,21.91,5,2,19.61,0.551,2,medio
-8.735338,-71.026723,GO,Cerrado,4,32.36,35.72,2.42,6.98,3,1,17.2,0.384,7,alto
-16.344653,-62.754961,RO,Cerrado,9,35.46,13.68,5.78,21.56,15,9,20.59,0.479,7,critico
-30.969485,-36.435537,SP,Pampa,1,34.47,71.66,16.46,18.25,6,2,3.05,0.38,3,medio
-22.943319,-45.260633,PI,Mata Atlântica,4,34.24,70.97,39.71,14.93,14,0,50.12,0.54,2,baixo
-27.505971,-45.884922,RO,Amazônia,5,28.49,51.75,21.37,13.7,0,3,1.0,0.423,6,medio
-26.770595,-44.297811,PA,Amazônia,12,25.62,37.19,46.3,13.76,11,7,1.0,0.389,3,alto
-18.635052,-68.9851,TO,Mata Atlântica,6,27.13,91.07,30.84,18.64,0,0,122.45,0.541,5,baixo
-21.841969,-57.415658,MA,Amazônia,8,31.0,65.05,18.47,30.14,31,3,5.32,0.337,4,alto
-18.513262,-34.36221,RO,Cerrado,12,28.34,29.52,46.51,0.0,6,6,25.12,0.386,7,medio
0.309299,-66.826836,CE,Caatinga,6,38.37,37.87,29.43,9.18,18,6,7.23,0.469,3,alto
-27.817898,-65.329146,SC,Cerrado,8,31.59,10.0,3.54,33.34,17,11,20.84,0.734,6,critico
-13.864337,-41.735939,RS,Cerrado,1,27.62,10.0,47.22,1.37,8,4,6.91,0.316,4,alto
-32.910796,-63.452805,MG,Cerrado,7,29.3,33.68,0.97,10.16,30,13,18.16,0.459,6,critico
-18.506465,-67.506124,AM,Amazônia,1,32.67,88.87,73.44,10.2,1,4,1.0,0.605,5,medio
2.560994,-63.873794,MA,Amazônia,10,30.2,43.31,8.23,15.91,30,10,36.48,0.478,3,alto
-15.697508,-37.570936,RJ,Mata Atlântica,3,28.23,53.19,29.06,16.01,16,3,1.0,0.72,4,medio
-15.659615,-38.130437,PA,Cerrado,6,33.62,52.82,40.41,2.53,12,7,12.21,0.721,4,alto
-28.162149,-66.14878,PA,Caatinga,6,29.2,56.38,40.41,37.24,4,3,67.42,0.362,3,baixo
-5.15651,-46.250825,RJ,Amazônia,1,24.95,83.26,47.13,13.88,14,6,5.22,0.662,6,medio
1.402229,-69.761488,GO,Amazônia,8,29.97,32.35,27.29,18.96,15,8,13.18,0.465,14,alto
-11.449109,-51.115105,MT,Cerrado,9,39.04,21.62,1.15,22.83,36,9,1.0,0.252,4,critico
-6.151108,-53.517601,MT,Amazônia,8,33.94,72.6,19.85,3.15,29,7,20.33,0.251,4,alto
-20.063239,-34.351539,BA,Amazônia,5,21.23,69.04,17.9,9.35,9,3,23.36,0.645,2,baixo
-7.765183,-63.051598,CE,Amazônia,10,27.6,45.5,24.49,8.69,28,9,17.43,0.65,8,alto
-27.19899,-45.303243,MS,Amazônia,6,20.02,58.93,33.48,25.33,4,3,110.88,0.493,1,baixo
-14.087858,-54.435192,PA,Caatinga,8,37.41,10.0,7.43,14.82,14,5,18.77,0.701,2,alto
-0.802724,-55.790301,TO,Caatinga,3,31.57,48.81,29.54,27.32,5,0,131.14,0.705,2,baixo
-26.212103,-59.827828,MA,Mata Atlântica,6,28.12,19.21,16.19,22.57,17,4,1.22,0.646,1,alto
-30.52997,-40.812972,PA,Mata Atlântica,5,26.57,79.79,34.1,6.77,5,1,6.7,0.545,2,baixo
-31.986283,-72.515402,BA,Amazônia,11,29.47,82.77,24.26,27.82,13,7,1.0,0.569,10,alto
-18.250943,-66.340349,RS,Mata Atlântica,2,28.61,38.76,13.77,21.86,17,2,22.22,0.268,7,alto
-19.403095,-62.257142,SC,Caatinga,6,28.53,72.04,9.53,15.49,16,5,1.0,0.188,3,alto
-32.562011,-67.916712,PR,Mata Atlântica,10,28.18,33.08,34.07,12.79,20,6,20.47,0.415,2,alto
-11.527253,-39.51179,RO,Amazônia,1,28.03,68.44,41.82,4.85,16,8,14.69,0.857,1,medio
-31.008584,-37.595182,MA,Cerrado,12,34.64,75.79,18.48,13.45,10,1,2.94,0.313,1,alto
1.147429,-36.295712,MA,Amazônia,8,29.38,58.37,11.64,9.16,28,5,18.14,0.091,5,alto
-14.631101,-62.723221,MS,Amazônia,9,26.9,38.46,18.9,11.69,27,9,2.93,0.42,11,critico
3.835727,-35.57458,PR,Pantanal,12,27.76,53.33,4.57,7.01,15,5,1.65,0.325,6,alto
-30.345247,-46.573164,RJ,Cerrado,2,28.36,31.74,1.59,17.97,24,7,52.49,0.373,5,alto
-17.495237,-46.188873,RO,Pantanal,9,35.91,10.55,16.8,13.0,20,5,3.51,0.334,4,critico
-7.379654,-64.361752,TO,Cerrado,6,29.31,40.27,8.53,27.31,12,3,15.37,0.793,4,alto
-17.315184,-64.116645,MA,Mata Atlântica,12,19.72,81.0,14.9,14.84,15,1,45.82,0.692,2,baixo
-2.192242,-36.060346,RS,Mata Atlântica,2,26.97,43.98,6.03,14.99,6,1,10.18,0.348,8,alto
-32.06975,-42.162587,TO,Amazônia,12,22.52,32.03,21.02,28.55,5,4,21.82,0.586,11,medio
2.818903,-40.544545,RJ,Cerrado,1,34.56,67.53,6.01,18.43,17,4,6.78,0.537,5,alto
2.399469,-45.392653,MT,Amazônia,3,23.94,79.15,50.25,10.71,9,3,5.73,0.861,5,medio
-26.5342,-63.0659,PI,Cerrado,9,35.68,10.0,4.24,20.87,31,8,39.02,0.163,4,critico
-9.152871,-59.100927,SC,Amazônia,6,15.0,70.79,18.91,12.7,11,1,2.62,0.787,3,medio
-4.141709,-60.752284,SP,Caatinga,5,22.1,52.42,24.68,13.06,10,4,21.31,0.359,3,medio
-19.612511,-61.341039,PA,Pampa,1,23.03,62.38,2.16,16.56,3,1,50.54,0.58,0,baixo
-24.857671,-70.484863,AM,Pampa,8,35.14,54.3,5.64,19.64,30,8,49.73,0.549,4,alto
-31.701328,-60.53357,PE,Pampa,9,31.07,51.47,10.32,5.21,16,6,57.03,0.391,3,medio
-28.759872,-67.237893,SC,Mata Atlântica,8,25.67,33.59,0.23,32.95,10,6,3.43,0.05,3,critico
-26.489667,-46.963533,MA,Cerrado,7,40.48,46.47,0.74,0.0,36,10,16.64,0.175,6,critico
-25.902329,-56.403029,PE,Mata Atlântica,7,38.68,45.46,7.49,13.94,26,9,23.85,0.339,4,alto
3.16709,-42.159851,MT,Cerrado,12,33.59,17.51,1.21,16.54,17,7,49.17,0.628,8,alto
-11.55656,-68.533218,RO,Pantanal,2,33.32,36.61,11.31,8.28,9,1,74.65,0.704,3,medio
-1.873922,-51.662022,MT,Pampa,8,28.63,35.42,6.86,16.01,21,10,38.99,0.543,4,alto
-31.285597,-36.595801,RJ,Caatinga,7,38.36,41.68,12.67,23.08,11,3,2.15,0.407,4,alto
-2.903881,-60.351767,MT,Caatinga,6,27.6,59.31,8.61,16.61,16,10,21.43,0.487,6,medio
-23.4134,-50.11747,MS,Mata Atlântica,4,26.52,85.02,39.41,15.44,17,1,3.73,0.708,3,medio
-25.956549,-48.261155,RJ,Mata Atlântica,1,28.95,79.61,9.29,9.75,9,0,101.26,0.392,2,baixo
-0.549958,-66.284424,PE,Pampa,10,26.18,24.04,2.53,19.74,9,4,1.0,0.675,4,alto
-32.405555,-36.579507,PI,Pampa,4,26.13,68.42,2.45,15.16,11,1,2.69,0.225,2,alto
-18.735661,-63.578185,MG,Mata Atlântica,3,32.6,66.15,0.09,18.47,10,2,1.95,0.11,4,alto
-5.00096,-54.438254,GO,Cerrado,11,36.62,48.33,11.44,6.3,7,6,4.45,0.747,3,alto
-4.218716,-59.079445,RS,Cerrado,3,33.21,36.95,14.26,17.64,16,6,33.27,0.718,12,alto
-17.643826,-64.361459,PR,Mata Atlântica,8,42.77,48.14,6.18,30.48,25,3,1.0,0.313,3,critico
-17.904799,-62.520671,RJ,Caatinga,1,34.9,41.01,20.24,4.73,16,7,46.99,0.386,3,medio
4.088529,-60.886562,MS,Amazônia,12,34.93,67.51,25.66,18.0,8,2,41.82,0.742,2,medio
-26.174868,-44.334095,AM,Pantanal,12,29.06,47.23,19.78,6.75,24,6,51.18,0.95,3,medio
-9.643637,-71.165477,AM,Mata Atlântica,1,27.67,65.24,27.33,20.06,17,4,1.0,0.592,2,medio
-11.724062,-61.264156,RO,Amazônia,3,25.69,50.25,21.78,18.69,3,2,1.47,0.414,7,medio
4.399349,-71.816769,TO,Mata Atlântica,1,24.28,63.45,7.98,25.84,6,1,17.16,0.36,2,medio
-5.859813,-70.289158,SC,Amazônia,2,32.04,95.0,17.59,6.94,13,2,9.57,0.645,4,medio
-23.170093,-45.09305,MT,Cerrado,4,25.53,65.86,45.09,10.91,20,4,23.34,0.324,3,medio
-16.56115,-53.372708,RS,Amazônia,7,25.42,57.98,27.86,11.63,17,9,18.78,0.05,5,medio
-23.767199,-47.949951,PE,Mata Atlântica,11,23.41,50.63,7.33,19.89,12,1,12.35,0.608,4,medio
-17.101433,-55.806651,PI,Cerrado,11,33.25,64.76,0.86,11.55,8,1,3.15,0.073,5,alto
-22.545145,-53.221389,MS,Pantanal,10,35.46,31.29,14.6,24.46,26,10,41.08,0.472,4,critico
-17.594649,-59.848424,RO,Amazônia,5,24.15,68.47,38.69,6.31,3,3,13.77,0.585,2,baixo
-31.331625,-47.505751,MT,Caatinga,6,32.79,58.99,17.01,5.77,13,4,50.88,0.118,3,medio
-24.125412,-34.213496,MG,Caatinga,6,24.09,64.19,61.17,25.12,13,3,14.18,0.613,5,medio
-6.433964,-37.05022,MA,Cerrado,10,37.6,23.92,19.96,12.26,8,6,14.48,0.515,6,alto
-5.577355,-70.088196,TO,Cerrado,7,32.97,32.29,4.26,17.49,19,8,4.64,0.133,7,critico
-15.865661,-59.255123,PR,Amazônia,12,21.68,74.97,57.03,12.03,5,2,31.5,0.577,7,baixo
-28.026699,-55.154815,PA,Amazônia,6,29.89,66.62,26.5,23.25,4,0,43.63,0.326,9,medio
-8.397017,-59.681223,AM,Pampa,5,27.3,84.84,105.45,16.57,9,1,25.88,0.472,4,baixo
-1.739822,-62.416998,TO,Amazônia,2,29.26,56.7,43.96,28.1,17,6,4.74,0.322,1,alto
-13.466829,-50.647179,PI,Mata Atlântica,9,31.84,46.61,4.29,21.03,8,4,5.93,0.272,4,alto
-10.350854,-55.044939,RO,Pantanal,7,28.96,10.07,8.09,26.74,20,10,29.49,0.439,8,critico
-28.502877,-34.13843,SC,Cerrado,6,28.65,70.55,43.34,24.67,11,3,17.06,0.156,5,medio
-13.179219,-36.60222,GO,Cerrado,9,35.43,46.13,0.04,10.61,22,5,9.31,0.112,8,critico
-24.812162,-65.186317,TO,Amazônia,7,34.13,59.04,49.39,6.87,33,4,3.69,0.46,5,alto
-24.942942,-71.847863,RJ,Cerrado,12,22.84,42.63,50.99,14.06,9,5,1.0,0.366,6,medio
-1.193159,-69.922829,PR,Pampa,8,27.86,26.1,1.16,19.72,6,6,21.99,0.05,4,alto
-20.201881,-50.854704,CE,Amazônia,5,29.62,82.93,39.89,3.67,1,5,6.95,0.814,0,medio
-14.567265,-37.661746,MG,Cerrado,10,32.23,34.03,9.85,9.03,35,15,54.17,0.476,3,alto
-31.77772,-48.640707,MT,Mata Atlântica,11,32.9,29.39,14.02,9.01,13,0,140.02,0.48,0,medio
-22.394765,-50.404191,RJ,Amazônia,9,28.39,39.95,28.52,4.95,31,7,28.89,0.682,6,alto
-6.41731,-54.834962,MT,Pantanal,4,25.94,48.45,10.43,3.45,19,9,81.43,0.66,4,medio
-32.19545,-59.427479,RS,Pampa,10,31.62,48.81,4.3,26.93,10,2,9.3,0.2,3,alto
-14.426383,-57.08822,CE,Pampa,2,23.62,38.37,10.43,10.09,8,1,1.0,0.95,6,medio
-8.546082,-72.406689,RJ,Cerrado,7,30.39,55.7,1.79,33.68,31,8,44.91,0.128,5,critico
1.253198,-40.477253,SC,Cerrado,3,38.04,72.31,16.08,0.5,15,3,14.4,0.357,2,alto
-16.293082,-55.59482,TO,Cerrado,8,37.99,10.0,2.31,4.69,28,12,12.36,0.137,6,critico
-5.529762,-47.862037,SC,Amazônia,9,30.33,70.91,13.0,21.92,21,9,15.78,0.465,5,alto
-15.833813,-35.221033,MS,Mata Atlântica,11,26.04,51.59,13.58,3.33,6,1,6.2,0.622,4,medio
-31.461463,-57.287306,CE,Cerrado,8,32.98,66.87,16.53,18.48,22,7,77.52,0.435,6,alto
-1.500664,-68.749,RS,Cerrado,10,33.31,19.29,0.83,13.54,40,9,37.37,0.602,9,critico
1.682638,-65.480691,MA,Pampa,9,31.74,35.88,4.46,7.73,12,3,4.46,0.516,5,alto
-3.118039,-63.247786,RJ,Amazônia,12,19.75,58.32,73.31,25.13,5,3,13.55,0.549,2,medio
-18.675901,-69.085668,MG,Mata Atlântica,6,30.5,66.93,54.68,10.57,6,0,89.29,0.816,3,baixo
4.905522,-53.753486,SP,Mata Atlântica,12,27.22,40.78,42.05,8.66,11,0,42.12,0.924,2,baixo
-14.108662,-41.43563,MA,Pantanal,5,31.79,52.09,47.01,4.63,15,1,4.35,0.574,4,alto
-2.838738,-42.377088,CE,Amazônia,9,27.85,34.84,34.9,18.36,8,9,7.04,0.233,12,alto
3.968551,-62.600409,GO,Mata Atlântica,6,23.99,86.58,28.26,2.5,8,1,6.84,0.711,1,baixo
-16.864016,-55.02209,GO,Amazônia,9,38.68,49.38,43.77,35.83,12,6,13.36,0.64,5,alto
-12.723006,-67.494525,PA,Pampa,10,34.72,48.48,2.9,1.8,30,1,1.0,0.485,7,alto
-3.350145,-60.12564,PE,Cerrado,9,36.57,10.0,15.8,15.93,22,14,25.04,0.359,8,critico
-10.499317,-41.038801,AM,Amazônia,9,28.91,38.9,14.02,13.2,25,9,63.52,0.304,1,alto
-10.568635,-48.429722,RS,Cerrado,6,27.44,63.45,10.93,16.19,16,6,45.2,0.447,3,medio
-20.280538,-65.828944,AM,Pantanal,11,27.07,52.91,20.74,19.38,13,2,7.32,0.539,9,alto
-26.433993,-59.052019,MT,Pantanal,2,32.5,29.84,58.27,3.34,19,10,16.97,0.603,4,alto
4.378416,-57.694651,MA,Pantanal,2,24.15,38.03,56.29,0.0,10,2,42.75,0.879,3,medio
1.537723,-64.61412,AM,Cerrado,7,31.11,18.81,0.11,10.21,14,8,5.58,0.107,6,critico
-22.980333,-70.464786,MT,Cerrado,1,34.29,49.05,9.88,23.93,8,2,8.71,0.317,7,alto
-18.004095,-58.473711,RO,Cerrado,8,26.89,24.47,8.04,2.29,19,7,13.33,0.686,8,critico
-26.361414,-52.895598,GO,Pantanal,7,37.52,18.09,3.1,10.08,29,7,20.76,0.37,7,critico
-2.821817,-65.103766,SC,Amazônia,4,27.01,79.96,80.6,4.71,10,5,22.27,0.695,5,medio
-19.653753,-40.34764,PR,Mata Atlântica,6,23.47,38.92,37.45,9.39,1,0,68.18,0.775,3,baixo
-14.226371,-70.846513,PA,Caatinga,10,32.8,58.9,0.21,11.52,33,12,38.66,0.144,1,alto
-15.926759,-61.802745,PR,Mata Atlântica,8,32.0,32.74,5.72,19.38,23,5,28.01,0.485,3,alto
1.588425,-61.13971,PE,Pampa,2,33.21,27.74,2.64,28.98,3,3,20.7,0.145,2,alto
-14.701501,-52.27572,RJ,Pantanal,6,28.73,21.01,3.54,26.54,6,5,3.97,0.521,6,alto
-9.849539,-62.278575,CE,Amazônia,12,29.77,95.0,23.11,10.2,11,1,7.04,0.702,6,medio
-23.773543,-60.37301,SC,Amazônia,10,33.87,41.93,47.94,12.48,32,11,9.87,0.269,4,alto
-23.393261,-43.407831,MT,Cerrado,10,27.57,39.35,4.09,18.08,13,11,17.89,0.462,6,alto
2.114957,-46.853795,RS,Cerrado,5,27.51,61.16,76.45,0.0,17,4,6.37,0.344,8,medio
0.71241,-62.890206,MA,Caatinga,11,20.86,43.03,16.85,17.97,18,8,39.5,0.318,0,medio
-20.279746,-53.137729,CE,Cerrado,5,21.24,57.84,60.65,15.23,4,2,3.39,0.457,5,medio
-8.426435,-35.84065,RJ,Amazônia,7,29.56,20.26,8.24,16.96,24,8,20.11,0.513,9,critico
-28.636497,-35.694395,SC,Caatinga,5,35.91,27.97,0.88,15.15,10,9,30.84,0.645,1,alto
-32.459327,-42.498489,PE,Cerrado,12,27.55,54.94,33.63,19.41,20,2,17.32,0.345,1,medio
-25.067656,-54.052998,PA,Cerrado,1,30.55,54.79,29.56,15.31,11,0,119.62,0.492,5,medio
-19.637871,-70.547844,AM,Caatinga,12,25.63,61.41,21.04,10.63,11,6,9.68,0.294,2,medio
-31.005297,-56.330511,PI,Cerrado,1,29.41,59.78,13.93,17.37,6,4,19.76,0.558,6,medio
-7.602121,-64.101069,MS,Mata Atlântica,3,27.53,61.17,10.7,16.41,13,3,60.92,0.787,0,baixo
-1.799256,-51.711483,PA,Cerrado,3,25.18,42.38,22.52,15.71,16,6,5.61,0.666,4,medio
-30.970277,-49.010063,GO,Mata Atlântica,10,31.51,30.84,2.05,19.46,25,3,2.83,0.05,3,critico
2.91022,-34.480826,PR,Amazônia,10,36.63,45.92,34.71,7.09,9,5,58.08,0.893,4,medio
-26.74253,-50.933098,SC,Pantanal,1,25.44,46.56,49.01,22.03,20,6,66.67,0.695,4,medio
-3.770902,-56.27468,TO,Caatinga,10,29.63,46.02,2.24,20.0,19,10,28.17,0.237,2,alto
-21.157258,-34.366796,RJ,Amazônia,12,35.24,56.2,17.36,24.58,2,1,19.86,0.531,5,medio
-7.042953,-50.359748,SP,Cerrado,8,26.35,33.76,2.48,10.99,28,11,23.05,0.369,9,critico
-12.28968,-64.268008,MS,Amazônia,6,23.82,26.01,64.7,24.32,12,5,5.24,0.511,5,alto
-7.033221,-62.764048,AM,Cerrado,1,32.38,55.29,12.84,7.83,5,5,16.31,0.601,3,medio
2.732014,-61.54662,PI,Pampa,10,32.61,32.34,6.32,6.97,16,11,1.0,0.404,4,critico
2.56028,-57.274051,TO,Caatinga,7,33.97,51.58,13.04,18.83,29,6,8.7,0.088,4,critico
-16.891809,-53.140748,RS,Cerrado,4,30.81,62.94,76.53,24.76,13,4,5.85,0.834,6,medio
-13.21997,-44.755817,RS,Pantanal,10,32.47,22.34,18.78,14.64,33,10,8.78,0.084,8,critico
-20.225933,-61.521452,PA,Cerrado,6,31.19,59.9,18.09,23.84,20,6,9.75,0.401,1,alto
-20.787942,-71.53797,MG,Amazônia,7,24.16,49.64,6.97,14.29,30,14,25.99,0.785,4,alto
-18.511903,-53.463391,CE,Caatinga,10,30.58,28.61,1.48,22.79,34,15,1.0,0.272,1,critico
1.4086,-71.561162,AM,Caatinga,9,30.29,17.75,7.68,15.12,7,7,16.91,0.05,4,alto
-27.986667,-53.675142,BA,Pampa,5,23.65,49.78,4.02,9.43,1,0,61.65,0.556,3,baixo
-21.166585,-68.277829,RJ,Mata Atlântica,5,26.92,79.97,21.22,16.96,17,1,13.73,0.81,6,medio
-3.794143,-49.925335,PI,Cerrado,11,31.62,60.93,0.93,26.05,3,4,16.66,0.443,5,alto
-23.899429,-64.372361,PE,Mata Atlântica,10,31.52,23.12,15.61,9.37,16,13,28.46,0.339,5,alto
-26.905403,-45.097179,MT,Mata Atlântica,3,31.14,49.1,14.23,10.63,7,0,125.06,0.692,2,baixo
-1.919244,-61.671217,MT,Pantanal,7,34.64,22.51,1.44,15.26,16,10,17.77,0.373,2,critico
-9.209738,-71.807834,RS,Mata Atlântica,8,30.28,46.14,6.07,18.05,17,6,33.12,0.686,4,alto
4.502721,-57.476316,RJ,Caatinga,10,36.91,10.0,13.97,22.8,23,10,3.72,0.502,1,critico
-19.698522,-55.681485,RO,Cerrado,5,29.11,30.37,16.38,17.72,17,6,10.71,0.847,8,alto
-0.994516,-40.901896,SC,Mata Atlântica,7,29.78,35.13,31.07,12.22,34,10,24.37,0.714,2,alto
-22.647035,-51.582928,TO,Amazônia,11,30.53,76.14,65.93,11.58,4,1,17.79,0.556,5,medio
-9.341436,-66.832827,PE,Mata Atlântica,9,30.35,53.58,19.91,19.52,33,4,68.72,0.627,3,medio
-31.5642,-34.872339,MS,Mata Atlântica,2,28.52,59.34,9.53,24.31,6,0,51.72,0.751,3,baixo
-1.796601,-64.234198,PI,Pampa,6,21.78,71.44,5.75,13.01,10,3,14.27,0.689,1,medio
